Year,RoundNumber,LapNumber
2023,18,22.0
2023,18,23.0
2023,18,24.0
2023,18,28.0
2023,18,29.0
2023,18,30.0
2023,18,33.0
2023,18,35.0
2023,18,36.0
2023,18,38.0
2023,18,39.0
2023,18,40.0
2023,18,41.0
2023,18,43.0
2023,18,48.0
2023,18,55.0
2023,19,1.0
2023,19,10.0
2023,19,12.0
2023,19,20.0
2023,19,22.0
2023,19,23.0
2023,19,24.0
2023,19,25.0
2023,19,26.0
2023,19,27.0
2023,19,28.0
2023,19,29.0
2023,19,30.0
2023,19,31.0
2023,19,32.0
2023,19,34.0
2023,19,35.0
2023,20,2.0
2023,20,3.0
2023,20,15.0
2023,20,16.0
2023,20,18.0
2023,20,19.0
2023,20,20.0
2023,20,21.0
2023,20,22.0
2023,20,23.0
2023,20,25.0
2023,20,26.0
2023,20,27.0
2023,20,28.0
2023,20,32.0
2023,20,45.0
2023,20,46.0
2023,20,47.0
2023,20,48.0
2023,20,52.0
2023,20,53.0
2023,20,56.0
2023,20,57.0
2023,20,60.0
2023,22,6.0
2023,22,8.0
2023,22,13.0
2023,22,14.0
2023,22,15.0
2023,22,16.0
2023,22,17.0
2023,22,18.0
2023,22,23.0
2023,22,24.0
2023,22,30.0
2023,22,32.0
2023,22,33.0
2023,22,34.0
2023,22,35.0
2023,22,36.0
2023,22,37.0
2023,22,38.0
2023,22,42.0
2023,22,43.0
2023,22,44.0
2023,22,57.0
2024,1,2.0
2024,1,10.0
2024,1,11.0
2024,1,12.0
2024,1,13.0
2024,1,14.0
2024,1,15.0
2024,1,16.0
2024,1,18.0
2024,1,21.0
2024,1,28.0
2024,1,29.0
2024,1,31.0
2024,1,32.0
2024,1,33.0
2024,1,34.0
2024,1,35.0
2024,1,36.0
2024,1,37.0
2024,1,38.0
2024,1,41.0
2024,1,42.0
2024,1,44.0
2024,2,8.0
2024,2,34.0
2024,2,36.0
2024,2,37.0
2024,2,38.0
2024,2,42.0
2024,3,1.0
2024,3,6.0
2024,3,7.0
2024,3,8.0
2024,3,9.0
2024,3,10.0
2024,3,15.0
2024,3,17.0
2024,3,18.0
2024,3,28.0
2024,3,30.0
2024,3,34.0
2024,3,35.0
2024,3,36.0
2024,3,37.0
2024,3,38.0
2024,3,40.0
2024,3,41.0
2024,3,42.0
2024,3,43.0
2024,3,46.0
2024,4,2.0
2024,4,6.0
2024,4,7.0
2024,4,8.0
2024,4,12.0
2024,4,13.0
2024,4,14.0
2024,4,16.0
2024,4,17.0
2024,4,20.0
2024,4,23.0
2024,4,24.0
2024,4,27.0
2024,4,33.0
2024,4,34.0
2024,4,35.0
2024,4,37.0
2024,4,38.0
2024,4,40.0
2024,4,42.0
2024,5,1.0
2024,5,9.0
2024,5,10.0
2024,5,12.0
2024,5,13.0
2024,5,14.0
2024,5,15.0
2024,5,17.0
2024,5,18.0
2024,5,22.0
2024,5,23.0
2024,5,24.0
2024,5,25.0
