Year,GP,Driver,Rival,Gap_To_Ahead,Rival_Tyre_Age,Pace_Delta,Pit_Aggressiveness,Is_Traffic,InLap_Sec,OutLap_Sec,is_undercut,undercut_successful
2022,Bahrain Grand Prix,SAI,LEC,20.308,13.0,2.1899999999999977,-18.952380952380953,1,123.686,128.331,1,0
2022,Bahrain Grand Prix,LAT,RIC,4.861,14.0,2.9399999999999977,21.4,0,118.534,99.239,1,1
2022,Bahrain Grand Prix,LAT,NOR,0.241,8.0,3.128,3.3999999999999986,0,123.32,99.285,0,0
2022,Bahrain Grand Prix,LAT,NOR,7.937,4.0,-0.7469999999999857,-19.952380952380953,1,138.301,120.201,0,0
2022,Bahrain Grand Prix,RUS,PER,6.221,18.0,0.652000000000001,20.4,0,122.37,98.089,0,0
2022,Bahrain Grand Prix,RUS,VER,18.843,3.0,5.483000000000004,-8.714285714285715,0,119.638,97.216,0,0
2022,Bahrain Grand Prix,RUS,PER,16.16,5.0,5.426000000000002,-19.952380952380953,0,,120.695,0,0
2022,Bahrain Grand Prix,BOT,HAM,2.403,4.0,4.427000000000007,21.4,1,120.669,100.259,0,0
2022,Bahrain Grand Prix,BOT,RUS,15.816,3.0,4.772000000000006,-10.952380952380953,0,118.899,96.641,0,0
2022,Bahrain Grand Prix,BOT,MAG,15.832,11.0,-2.286999999999992,-19.952380952380953,1,148.768,106.02,1,0
2022,Saudi Arabian Grand Prix,VER,LEC,3.409,16.0,0.7369999999999948,21.25,0,,,0,0
2022,Saudi Arabian Grand Prix,GAS,HAM,6.017,16.0,3.7049999999999983,22.25,0,143.731,129.023,0,0
2022,Saudi Arabian Grand Prix,PER,LEC,1.106,15.0,3.353999999999999,22.25,0,128.106,,1,0
2022,Saudi Arabian Grand Prix,ALO,RUS,19.231,16.0,7.179000000000002,21.25,1,,,0,0
2022,Saudi Arabian Grand Prix,STR,HUL,5.36,14.0,5.168999999999997,24.25,0,116.297,97.836,0,0
2022,Saudi Arabian Grand Prix,MAG,HAM,8.926,38.0,1.9300000000000068,-21.333333333333332,0,143.719,127.206,1,1
2022,Saudi Arabian Grand Prix,ALB,LAT,2.018,13.0,2.9780000000000086,24.25,0,115.413,97.345,0,0
2022,Saudi Arabian Grand Prix,ZHO,NOR,1.194,16.0,0.6550000000000011,21.25,1,,,0,0
2022,Saudi Arabian Grand Prix,ZHO,STR,0.448,15.0,2.4650000000000034,-11.333333333333332,0,108.451,95.172,0,0
2022,Saudi Arabian Grand Prix,HUL,ALB,0.865,24.0,4.926000000000002,-21.333333333333332,0,144.318,125.562,0,0
2022,Saudi Arabian Grand Prix,RIC,ZHO,1.307,8.0,3.5459999999999923,29.25,0,114.148,96.037,0,0
2022,Saudi Arabian Grand Prix,OCO,MAG,2.723,18.0,3.747,21.25,0,145.977,,0,0
2022,Saudi Arabian Grand Prix,NOR,HAM,3.524,17.0,-2.711999999999989,21.25,1,148.586,,0,0
2022,Saudi Arabian Grand Prix,HAM,RUS,15.413,24.0,-0.7610000000000099,-24.333333333333332,0,113.062,93.982,0,0
2022,Saudi Arabian Grand Prix,SAI,VER,5.534,16.0,2.3629999999999995,21.25,1,,,0,0
2022,Saudi Arabian Grand Prix,RUS,PER,0.531,1.0,-16.455,21.25,1,,,0,0
2022,Saudi Arabian Grand Prix,BOT,ALO,3.329,16.0,1.9680000000000035,21.25,0,,,0,0
2022,Australian Grand Prix,VER,RIC,1.5430000000000001,18.0,14.102999999999994,15.5,1,89.085,83.217,1,1
2022,Australian Grand Prix,GAS,OCO,0.366,4.0,16.343999999999994,12.5,1,90.21,110.785,0,0
2022,Australian Grand Prix,PER,VER,3.306,2.0,15.882000000000005,13.5,1,91.675,83.645,0,0
2022,Australian Grand Prix,ALO,GAS,0.354,18.0,9.587000000000003,-20.058823529411764,1,90.957,83.771,0,0
2022,Australian Grand Prix,ALO,LAT,13.047,30.0,16.602999999999994,-19.5,0,92.889,81.322,0,0
2022,Australian Grand Prix,STR,ALB,12.219,3.0,12.908999999999992,15.941176470588236,0,133.522,124.896,0,0
2022,Australian Grand Prix,STR,ALB,13.693999999999999,4.0,1.4749999999999943,29.5,0,124.896,124.199,0,0
2022,Australian Grand Prix,STR,OCO,8.885,6.0,10.629999999999995,-4.0588235294117645,1,121.599,,0,0
2022,Australian Grand Prix,MAG,TSU,0.833,21.0,9.165000000000006,-20.058823529411764,0,90.49,83.182,0,0
2022,Australian Grand Prix,TSU,OCO,0.471,1.0,10.25,15.5,1,91.019,84.979,0,0
2022,Australian Grand Prix,ZHO,GAS,6.14,21.0,-0.41899999999999693,12.5,0,92.26,106.634,0,0
2022,Australian Grand Prix,RIC,MAG,1.184,21.0,14.489000000000004,12.5,1,90.993,99.154,0,0
2022,Australian Grand Prix,OCO,VET,0.11,18.0,16.286,16.5,0,90.536,84.6,0,0
2022,Australian Grand Prix,NOR,BOT,3.763,20.0,13.188000000000002,13.5,1,90.195,85.03,1,1
2022,Australian Grand Prix,HAM,VER,6.854,4.0,15.866,11.5,1,101.596,139.325,0,0
2022,Australian Grand Prix,MSC,VET,8.866,15.0,15.834000000000003,19.5,0,91.469,85.008,0,0
2022,Australian Grand Prix,LAT,VET,15.032,14.0,17.965000000000003,20.5,0,92.856,85.446,0,0
2022,Australian Grand Prix,LAT,ZHO,18.797,2.0,13.006,-4.0588235294117645,0,116.661,135.21,0,0
2022,Australian Grand Prix,RUS,VER,6.615,5.0,11.298999999999992,10.5,0,146.663,148.38,0,0
2022,Australian Grand Prix,BOT,OCO,0.196,5.0,14.00099999999999,11.5,1,112.104,119.439,0,0
2022,Emilia Romagna Grand Prix,PER,LEC,4.14,18.0,5.075000000000003,-17.0,0,117.071,88.35,1,1
2022,Emilia Romagna Grand Prix,PER,VER,19.292,31.0,5.0589999999999975,-32.111111111111114,1,104.839,78.949,1,0
2022,Emilia Romagna Grand Prix,NOR,LEC,10.699,19.0,0.5130000000000052,-18.0,1,115.724,85.623,0,0
2022,Emilia Romagna Grand Prix,RUS,NOR,13.436,18.0,5.790999999999997,-17.0,0,116.44,87.648,1,0
2022,Emilia Romagna Grand Prix,BOT,RUS,1.5190000000000001,18.0,0.16200000000000614,-17.0,1,125.391,86.955,0,0
2022,Emilia Romagna Grand Prix,LEC,VER,7.171,19.0,-0.8290000000000077,-18.0,0,116.684,84.435,0,0
2022,Emilia Romagna Grand Prix,LEC,PER,6.8870000000000005,31.0,4.131,-31.11111111111111,1,105.682,79.206,1,0
2022,Emilia Romagna Grand Prix,LEC,RUS,1.061,35.0,12.969000000000008,-2.0,0,111.871,80.048,0,0
2022,Emilia Romagna Grand Prix,TSU,MAG,9.288,18.0,0.5100000000000051,-17.0,1,118.171,87.39,0,0
2022,Emilia Romagna Grand Prix,VET,TSU,0.128,17.0,4.3359999999999985,-16.0,0,116.94,90.038,1,1
2022,Emilia Romagna Grand Prix,MAG,BOT,9.126,18.0,1.4769999999999897,-17.0,0,122.522,87.43,0,0
2022,Emilia Romagna Grand Prix,STR,TSU,0.704,18.0,-0.17499999999999716,-17.0,1,118.284,87.279,0,0
2022,Emilia Romagna Grand Prix,ALB,MSC,1.384,17.0,4.694000000000003,-16.0,0,116.43,88.905,1,1
2022,Emilia Romagna Grand Prix,GAS,OCO,9.642,17.0,3.899000000000001,-16.0,1,116.443,91.595,1,0
2022,Emilia Romagna Grand Prix,HAM,STR,0.778,18.0,0.3580000000000041,-17.0,1,121.411,86.695,0,0
2022,Emilia Romagna Grand Prix,OCO,HAM,0.86,18.0,0.2849999999999966,-17.0,0,117.412,86.994,0,0
2022,Emilia Romagna Grand Prix,ZHO,LAT,0.857,18.0,0.21800000000000352,-17.0,0,122.603,88.183,0,0
2022,Emilia Romagna Grand Prix,LAT,OCO,8.772,18.0,-1.3250000000000028,-17.0,0,121.47,89.13,0,0
2022,Emilia Romagna Grand Prix,MSC,ZHO,0.497,18.0,-0.028000000000005798,-17.0,0,120.415,89.276,0,0
2022,Emilia Romagna Grand Prix,MSC,LAT,9.101,34.0,4.849000000000004,-34.111111111111114,0,105.184,80.122,0,0
2022,Emilia Romagna Grand Prix,RIC,ZHO,2.716,2.0,,-1.0,0,133.778,126.502,0,0
2022,Emilia Romagna Grand Prix,RIC,MSC,9.08,16.0,5.047999999999988,-15.0,0,117.356,89.169,1,1
